query_id,category,question,candidate_order,chunk_id,source_path,section_title,content,adjudicator,adjudicated_relevance,adjudication_notes
q02,tutorial,How can I declare and validate query parameters in FastAPI?,22,reference/parameters-0,reference/parameters.md,Request Parameters,"# Request Parameters

Here's the reference information for the request parameters.

These are the special functions that you can put in *path operation function* parameters or dependency functions with `Annotated` to get data from the request.

It includes:

* `Query()`
* `Path()`
* `Body()`
* `Cookie()`
* `Header()`
* `Form()`
* `File()`

You can import them all directly from `fastapi`:

```python
from fastapi import Body, Cookie, File, Form, Header, Path, Query
```

::: fastapi.Query

::: fastapi.Path

::: fastapi.Body

::: fastapi.Cookie

::: fastapi.Header

::: fastapi.Form

::: fastapi.File",matheus,1,
q03,tutorial,How do I define a request body using a Pydantic model in FastAPI?,6,tutorial/body-fields-0,tutorial/body-fields.md,Body - Fields { #body-fields },"# Body - Fields { #body-fields }

The same way you can declare additional validation and metadata in *path operation function* parameters with `Query`, `Path` and `Body`, you can declare validation and metadata inside of Pydantic models using Pydantic's `Field`.",matheus,1,
q03,tutorial,How do I define a request body using a Pydantic model in FastAPI?,17,alternatives-22,alternatives.md,[Pydantic](https://pydantic.dev/docs/) { #pydantic },"### [Pydantic](https://pydantic.dev/docs/) { #pydantic }

Pydantic is a library to define data validation, serialization and documentation (using JSON Schema) based on Python type hints.

That makes it extremely intuitive.

It is comparable to Marshmallow. Although it's faster than Marshmallow in benchmarks. And as it is based on the same Python type hints, the editor support is great.

/// tip | **FastAPI** uses it to

Handle all the data validation, data serialization and automatic model documentation (based on JSON Schema).

**FastAPI** then takes that JSON Schema data and puts it in OpenAPI, apart from all the other things it does.

///",matheus,0,
q03,tutorial,How do I define a request body using a Pydantic model in FastAPI?,21,advanced/additional-responses-1,advanced/additional-responses.md,Additional Response with `model` { #additional-response-with-model },"## Additional Response with `model` { #additional-response-with-model }

You can pass to your *path operation decorators* a parameter `responses`.

It receives a `dict`: the keys are status codes for each response (like `200`), and the values are other `dict`s with the information for each of them.

Each of those response `dict`s can have a key `model`, containing a Pydantic model, just like `response_model`.

**FastAPI** will take that model, generate its JSON Schema and include it in the correct place in OpenAPI.

For example, to declare another response with a status code `404` and a Pydantic model `Message`, you can write:

{* ../../docs_src/additional_responses/tutorial001_py310.py hl[18,22] *}

/// note

Keep in mind that you have to return the `JSONResponse` directly.

///

/// note

The `model` key is not part of OpenAPI.

**FastAPI** will take the Pydantic model from there, generate the JSON Schema, and put it in the correct place.

The correct place is:",matheus,0,
q03,tutorial,How do I define a request body using a Pydantic model in FastAPI?,23,tutorial/query-param-models-4,tutorial/query-param-models.md,Summary { #summary },"## Summary { #summary }

You can use **Pydantic models** to declare **query parameters** in **FastAPI**. 😎

/// tip

Spoiler alert: you can also use Pydantic models to declare cookies and headers, but you will read about that later in the tutorial. 🤫

///",matheus,0,
q03,tutorial,How do I define a request body using a Pydantic model in FastAPI?,29,tutorial/body-nested-models-6,tutorial/body-nested-models.md,Define a submodel { #define-a-submodel },"### Define a submodel { #define-a-submodel }

For example, we can define an `Image` model:

{* ../../docs_src/body_nested_models/tutorial004_py310.py hl[7:9] *}",matheus,1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,3,tutorial/response-status-code-1,tutorial/response-status-code.md,About HTTP status codes { #about-http-status-codes },"## About HTTP status codes { #about-http-status-codes }

/// note

If you already know what HTTP status codes are, skip to the next section.

///

In HTTP, you send a numeric status code of 3 digits as part of the response.

These status codes have an associated name to help recognize them, but the important part is the number.

In short:

* `100 - 199` are for ""Information"". You rarely use them directly.  Responses with these status codes cannot have a body.
* **`200 - 299`** are for ""Successful"" responses. These are the ones you would use the most.
    * `200` is the default status code, which means everything was ""OK"".
    * Another example would be `201`, ""Created"". It is commonly used after creating a new record in the database.
    * A special case is `204`, ""No Content"".  This response is used when there is no content to return to the client, and so the response must not have a body.
* **`300 - 399`** are for ""Redirection"".  Responses with these status codes may or may not have a body, except for `304`, ""Not Modified"", which must not have one.
* **`400 - 499`** are for ""Client error"" responses. These are the second type you would probably use the most.
    * An example is `404`, for a ""Not Found"" response.
    * For generic errors from the client, you can just use `400`.
* `500 - 599` are for server errors. You almost never use them directly. When something goes wrong at some part in your application code, or server, it will automatically return one of these status codes.

/// tip",matheus,1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,5,advanced/custom-response-8,advanced/custom-response.md,`Response` { #response },"### `Response` { #response }

The main `Response` class, all the other responses inherit from it.

You can return it directly.

It accepts the following parameters:

* `content` - A `str` or `bytes`.
* `status_code` - An `int` HTTP status code.
* `headers` - A `dict` of strings.
* `media_type` - A `str` giving the media type. E.g. `""text/html""`.

FastAPI (actually Starlette) will automatically include a Content-Length header. It will also include a Content-Type header, based on the `media_type` and appending a charset for text types.

{* ../../docs_src/response_directly/tutorial002_py310.py hl[1,18] *}",matheus,1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,7,how-to/authentication-error-status-code-0,how-to/authentication-error-status-code.md,Use Old 403 Authentication Error Status Codes { #use-old-403-authentication-error-status-codes },"# Use Old 403 Authentication Error Status Codes { #use-old-403-authentication-error-status-codes }

Before FastAPI version `0.122.0`, when the integrated security utilities returned an error to the client after a failed authentication, they used the HTTP status code `403 Forbidden`.

Starting with FastAPI version `0.122.0`, they use the more appropriate HTTP status code `401 Unauthorized`, and return a sensible `WWW-Authenticate` header in the response, following the HTTP specifications, [RFC 7235](https://datatracker.ietf.org/doc/html/rfc7235#section-3.1), [RFC 9110](https://datatracker.ietf.org/doc/html/rfc9110#name-401-unauthorized).

But if for some reason your clients depend on the old behavior, you can revert to it by overriding the method `make_not_authenticated_error` in your security classes.

For example, you can create a subclass of `HTTPBearer` that returns a `403 Forbidden` error instead of the default `401 Unauthorized` error:

{* ../../docs_src/authentication_error_status_code/tutorial001_an_py310.py hl[9:13] *}

/// tip

Notice that the function returns the exception instance, it doesn't raise it. The raising is done in the rest of the internal code.

///",matheus,0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,13,tutorial/handling-errors-4,tutorial/handling-errors.md,The resulting response { #the-resulting-response },"### The resulting response { #the-resulting-response }

If the client requests `http://example.com/items/foo` (an `item_id` `""foo""`), that client will receive an HTTP status code of 200, and a JSON response of:

```JSON
{
  ""item"": ""The Foo Wrestlers""
}
```

But if the client requests `http://example.com/items/bar` (a non-existent `item_id` `""bar""`), that client will receive an HTTP status code of 404 (the ""not found"" error), and a JSON response of:

```JSON
{
  ""detail"": ""Item not found""
}
```

/// tip

When raising an `HTTPException`, you can pass any value that can be converted to JSON as the parameter `detail`, not only `str`.

You could pass a `dict`, a `list`, etc.

They are handled automatically by **FastAPI** and converted to JSON.

///",matheus,0,
