query_id,category,question,candidate_order,chunk_id,source_path,section_title,content,relevance,annotation_notes
q10,security,How do I implement OAuth2 password authentication with bearer tokens in FastAPI?,1,tutorial/security/first-steps-5,tutorial/security/first-steps.md,The `password` flow { #the-password-flow },"## The `password` flow { #the-password-flow }

Now let's go back a bit and understand what all that is.

The `password` ""flow"" is one of the ways (""flows"") defined in OAuth2, to handle security and authentication.

OAuth2 was designed so that the backend or API could be independent of the server that authenticates the user.

But in this case, the same **FastAPI** application will handle the API and the authentication.

So, let's review it from that simplified point of view:",1,
q10,security,How do I implement OAuth2 password authentication with bearer tokens in FastAPI?,2,reference/security/index-5,reference/security/index.md,OAuth2 Password Form,"## OAuth2 Password Form

::: fastapi.security.OAuth2PasswordRequestForm

::: fastapi.security.OAuth2PasswordRequestFormStrict",1,
q10,security,How do I implement OAuth2 password authentication with bearer tokens in FastAPI?,3,tutorial/security/simple-oauth2-17,tutorial/security/simple-oauth2.md,Recap { #recap },"## Recap { #recap }

You now have the tools to implement a complete security system based on `username` and `password` for your API.

Using these tools, you can make the security system compatible with any database and with any user or data model.

The only detail missing is that it is not actually ""secure"" yet.

In the next chapter you'll see how to use a secure password hashing library and <abbr title=""JSON Web Tokens"">JWT</abbr> tokens.",1,
q10,security,How do I implement OAuth2 password authentication with bearer tokens in FastAPI?,4,tutorial/security/first-steps-10,tutorial/security/first-steps.md,Use it { #use-it },"### Use it { #use-it }

Now you can pass that `oauth2_scheme` in a dependency with `Depends`.

{* ../../docs_src/security/tutorial001_an_py310.py hl[12] *}

This dependency will provide a `str` that is assigned to the parameter `token` of the *path operation function*.

**FastAPI** will know that it can use this dependency to define a ""security scheme"" in the OpenAPI schema (and the automatic API docs).

/// note | Technical Details

**FastAPI** will know that it can use the class `OAuth2PasswordBearer` (declared in a dependency) to define the security scheme in OpenAPI because it inherits from `fastapi.security.oauth2.OAuth2`, which in turn inherits from `fastapi.security.base.SecurityBase`.

All the security utilities that integrate with OpenAPI (and the automatic API docs) inherit from `SecurityBase`, that's how **FastAPI** can know how to integrate them in OpenAPI.

///",1,
q10,security,How do I implement OAuth2 password authentication with bearer tokens in FastAPI?,5,reference/security/index-6,reference/security/index.md,OAuth2 Security Scopes in Dependencies,"## OAuth2 Security Scopes in Dependencies

::: fastapi.security.SecurityScopes",0,
q10,security,How do I implement OAuth2 password authentication with bearer tokens in FastAPI?,6,tutorial/security/first-steps-0,tutorial/security/first-steps.md,Security - First Steps { #security-first-steps },"# Security - First Steps { #security-first-steps }

Let's imagine that you have your **backend** API in some domain.

And you have a **frontend** in another domain or in a different path of the same domain (or in a mobile application).

And you want to have a way for the frontend to authenticate with the backend, using a **username** and **password**.

We can use **OAuth2** to build that with **FastAPI**.

But let's save you the time of reading the full long specification just to find those little pieces of information you need.

Let's use the tools provided by **FastAPI** to handle security.",1,
q10,security,How do I implement OAuth2 password authentication with bearer tokens in FastAPI?,7,reference/security/index-4,reference/security/index.md,OAuth2 Authentication,"## OAuth2 Authentication

::: fastapi.security.OAuth2

::: fastapi.security.OAuth2AuthorizationCodeBearer

::: fastapi.security.OAuth2PasswordBearer",1,
q10,security,How do I implement OAuth2 password authentication with bearer tokens in FastAPI?,8,tutorial/security/simple-oauth2-11,tutorial/security/simple-oauth2.md,Return the token { #return-the-token },"## Return the token { #return-the-token }

The response of the `token` endpoint must be a JSON object.

It should have a `token_type`. In our case, as we are using ""Bearer"" tokens, the token type should be ""`bearer`"".

And it should have an `access_token`, with a string containing our access token.

For this simple example, we are going to just be completely insecure and return the same `username` as the token.

/// tip

In the next chapter, you will see a real secure implementation, with password hashing and <abbr title=""JSON Web Tokens"">JWT</abbr> tokens.

But for now, let's focus on the specific details we need.

///

{* ../../docs_src/security/tutorial003_an_py310.py hl[87] *}

/// tip

By the spec, you should return a JSON with an `access_token` and a `token_type`, the same as in this example.

This is something that you have to do yourself in your code, and make sure you use those JSON keys.

It's almost the only thing that you have to remember to do correctly yourself, to be compliant with the specifications.

For the rest, **FastAPI** handles it for you.

///",1,
q10,security,How do I implement OAuth2 password authentication with bearer tokens in FastAPI?,9,tutorial/security/oauth2-jwt-0,tutorial/security/oauth2-jwt.md,"OAuth2 with Password (and hashing), Bearer with JWT tokens { #oauth2-with-password-and-hashing-bearer-with-jwt-tokens }","# OAuth2 with Password (and hashing), Bearer with JWT tokens { #oauth2-with-password-and-hashing-bearer-with-jwt-tokens }

Now that we have all the security flow, let's make the application actually secure, using <abbr title=""JSON Web Tokens"">JWT</abbr> tokens and secure password hashing.

This code is something you can actually use in your application, save the password hashes in your database, etc.

We are going to start from where we left in the previous chapter and increment it.",1,
q10,security,How do I implement OAuth2 password authentication with bearer tokens in FastAPI?,10,how-to/custom-docs-ui-assets-14,how-to/custom-docs-ui-assets.md,Include the custom docs for static files { #include-the-custom-docs-for-static-files },"/// tip

The *path operation* for `swagger_ui_redirect` is a helper for when you use OAuth2.

If you integrate your API with an OAuth2 provider, you will be able to authenticate and come back to the API docs with the acquired credentials. And interact with it using the real OAuth2 authentication.

Swagger UI will handle it behind the scenes for you, but it needs this ""redirect"" helper.

///",0,
