task_type,blind_id,annotator,correctness,completeness,clarity,hallucination_present,groundedness,notes
groundedness,G-0429D54D7A0E,carlos,,,,,2,
groundedness,G-0429D54D7A0E,wilson,,,,,2,
groundedness,G-05ADF7D05686,carlos,,,,,2,
groundedness,G-05ADF7D05686,wilson,,,,,2,
groundedness,G-06E51D5716F0,gabriela,,,,,2,
groundedness,G-06E51D5716F0,yann,,,,,2,
groundedness,G-07A7D5AFCD05,gabriela,,,,,2,
groundedness,G-07A7D5AFCD05,matheus,,,,,2,
groundedness,G-0E7374F00AEE,wilson,,,,,2,
groundedness,G-0E7374F00AEE,yann,,,,,2,
groundedness,G-106ABF6FCA4B,carlos,,,,,2,
groundedness,G-106ABF6FCA4B,yann,,,,,2,
groundedness,G-12125E246B1A,carlos,,,,,2,
groundedness,G-12125E246B1A,wilson,,,,,2,
groundedness,G-14E6D8BFB8A7,gabriela,,,,,2,
groundedness,G-14E6D8BFB8A7,matheus,,,,,2,
groundedness,G-1506F10E9715,gabriela,,,,,2,
groundedness,G-1506F10E9715,matheus,,,,,2,
groundedness,G-19F2B4A0F7D5,carlos,,,,,2,
groundedness,G-19F2B4A0F7D5,yann,,,,,2,
groundedness,G-26C8FF464A54,carlos,,,,,2,
groundedness,G-26C8FF464A54,yann,,,,,2,
groundedness,G-2B268F4BEF95,carlos,,,,,2,
groundedness,G-2B268F4BEF95,gabriela,,,,,2,
groundedness,G-2E996D660ACC,gabriela,,,,,2,
groundedness,G-2E996D660ACC,yann,,,,,2,
groundedness,G-35A5A80FEDF7,matheus,,,,,2,
groundedness,G-35A5A80FEDF7,wilson,,,,,2,
groundedness,G-369928E824A1,gabriela,,,,,2,
groundedness,G-369928E824A1,yann,,,,,2,
groundedness,G-377428C0EDBB,gabriela,,,,,2,
groundedness,G-377428C0EDBB,yann,,,,,2,
groundedness,G-4037023452C7,carlos,,,,,2,
groundedness,G-4037023452C7,gabriela,,,,,2,
groundedness,G-40FC2FFF068B,matheus,,,,,2,
groundedness,G-40FC2FFF068B,yann,,,,,2,
groundedness,G-455561E2715A,carlos,,,,,2,
groundedness,G-455561E2715A,gabriela,,,,,2,
groundedness,G-4C0D3087832C,gabriela,,,,,2,
groundedness,G-4C0D3087832C,wilson,,,,,2,
groundedness,G-530D1118C809,carlos,,,,,2,
groundedness,G-530D1118C809,yann,,,,,2,
groundedness,G-541884332516,gabriela,,,,,2,
groundedness,G-541884332516,yann,,,,,2,
groundedness,G-54C14A24FC78,matheus,,,,,2,
groundedness,G-54C14A24FC78,wilson,,,,,2,
groundedness,G-5E28B746D6CF,carlos,,,,,2,
groundedness,G-5E28B746D6CF,matheus,,,,,2,
groundedness,G-60614155AD17,wilson,,,,,2,
groundedness,G-60614155AD17,yann,,,,,2,
groundedness,G-623782CEAF88,wilson,,,,,2,
groundedness,G-623782CEAF88,yann,,,,,2,
groundedness,G-69BF01C4442F,carlos,,,,,2,
groundedness,G-69BF01C4442F,gabriela,,,,,2,
groundedness,G-6D18A201DB7D,carlos,,,,,2,
groundedness,G-6D18A201DB7D,wilson,,,,,2,
groundedness,G-70290EAB7BBE,matheus,,,,,2,
groundedness,G-70290EAB7BBE,wilson,,,,,2,
groundedness,G-7211D36FDE14,carlos,,,,,2,
groundedness,G-7211D36FDE14,matheus,,,,,2,
groundedness,G-7AEF984FF08F,wilson,,,,,2,
groundedness,G-7AEF984FF08F,yann,,,,,2,
groundedness,G-819FC0D48C0D,wilson,,,,,2,
groundedness,G-819FC0D48C0D,yann,,,,,2,
groundedness,G-8227AD99DAA4,matheus,,,,,2,
groundedness,G-8227AD99DAA4,wilson,,,,,2,
groundedness,G-88834C6BB041,matheus,,,,,2,
groundedness,G-88834C6BB041,yann,,,,,2,
groundedness,G-8DC507C00BC4,gabriela,,,,,2,
groundedness,G-8DC507C00BC4,wilson,,,,,2,
groundedness,G-8ED6DC1671A5,gabriela,,,,,2,
groundedness,G-8ED6DC1671A5,matheus,,,,,2,
groundedness,G-97B33F206271,gabriela,,,,,2,
groundedness,G-97B33F206271,matheus,,,,,2,
groundedness,G-987107887D0F,carlos,,,,,2,
groundedness,G-987107887D0F,matheus,,,,,2,
groundedness,G-A8ABBC6F495D,carlos,,,,,2,
groundedness,G-A8ABBC6F495D,matheus,,,,,2,
groundedness,G-B70639D9EDEC,matheus,,,,,2,
groundedness,G-B70639D9EDEC,wilson,,,,,2,
groundedness,G-B79D70A1E94F,gabriela,,,,,2,
groundedness,G-B79D70A1E94F,wilson,,,,,2,
groundedness,G-B9CF1E87ED58,gabriela,,,,,2,
groundedness,G-B9CF1E87ED58,matheus,,,,,2,
groundedness,G-BBF60ACFB4D1,carlos,,,,,2,
groundedness,G-BBF60ACFB4D1,yann,,,,,2,
groundedness,G-C808DD93B574,matheus,,,,,2,
groundedness,G-C808DD93B574,yann,,,,,2,
groundedness,G-CAA1F0231D2C,carlos,,,,,2,
groundedness,G-CAA1F0231D2C,gabriela,,,,,2,
groundedness,G-D4A0596C4713,matheus,,,,,2,
groundedness,G-D4A0596C4713,wilson,,,,,2,
groundedness,G-D68670F61ACD,matheus,,,,,2,
groundedness,G-D68670F61ACD,yann,,,,,2,
groundedness,G-E885803F5F7B,wilson,,,,,2,
groundedness,G-E885803F5F7B,yann,,,,,2,
groundedness,G-EBFF2BDD8A79,gabriela,,,,,0,Resposta indica contexto insuficiente
groundedness,G-EBFF2BDD8A79,wilson,,,,,0,Resposta indica contexto insuficiente
groundedness,G-EF3022D77E43,matheus,,,,,2,
groundedness,G-EF3022D77E43,yann,,,,,2,
groundedness,G-EFD1F79B5436,carlos,,,,,2,
groundedness,G-EFD1F79B5436,gabriela,,,,,2,
groundedness,G-F004A72A6E0C,matheus,,,,,2,
groundedness,G-F004A72A6E0C,yann,,,,,2,
groundedness,G-F211A7460663,carlos,,,,,0,Resposta indica contexto insuficiente
groundedness,G-F211A7460663,wilson,,,,,0,Resposta indica contexto insuficiente
groundedness,G-F5DCD4082AAF,gabriela,,,,,2,
groundedness,G-F5DCD4082AAF,wilson,,,,,2,
groundedness,G-F76029BDB275,carlos,,,,,2,
groundedness,G-F76029BDB275,matheus,,,,,2,
groundedness,G-FA2DA779F988,carlos,,,,,2,
groundedness,G-FA2DA779F988,wilson,,,,,2,
groundedness,G-FAB5DD4D03AC,gabriela,,,,,2,
groundedness,G-FAB5DD4D03AC,yann,,,,,2,
groundedness,G-FAC6087EF67E,carlos,,,,,2,
groundedness,G-FAC6087EF67E,yann,,,,,2,
groundedness,G-FCF2BE263430,gabriela,,,,,2,
groundedness,G-FCF2BE263430,wilson,,,,,2,
groundedness,G-FD9579442A9D,carlos,,,,,2,
groundedness,G-FD9579442A9D,matheus,,,,,2,
quality,Q-014851B82DDB,matheus,2,2,2,0,,
quality,Q-014851B82DDB,yann,2,2,2,0,,
quality,Q-02FE9E53B872,carlos,2,2,2,0,,
quality,Q-02FE9E53B872,matheus,2,2,2,0,,
quality,Q-030BC3434AB5,matheus,2,2,2,0,,
quality,Q-030BC3434AB5,wilson,2,2,2,0,,
quality,Q-0331EC317506,gabriela,2,2,2,0,,
quality,Q-0331EC317506,matheus,2,2,2,0,,
quality,Q-0418C76EE0D2,carlos,2,2,2,0,,
quality,Q-0418C76EE0D2,wilson,2,2,2,0,,
quality,Q-07B492531259,gabriela,2,2,2,0,,
quality,Q-07B492531259,wilson,2,2,2,0,,
quality,Q-07E868E2FC34,gabriela,2,2,2,0,,
quality,Q-07E868E2FC34,wilson,2,2,2,0,,
quality,Q-09B273A16FD0,carlos,2,2,2,0,,
quality,Q-09B273A16FD0,yann,2,2,2,0,,
quality,Q-0AB9F45E6A07,carlos,2,2,2,0,,
quality,Q-0AB9F45E6A07,gabriela,2,2,2,0,,
quality,Q-0AC255AC50A5,carlos,2,2,2,0,,
quality,Q-0AC255AC50A5,wilson,2,2,2,0,,
quality,Q-0B916C635840,wilson,2,1,1,0,,
quality,Q-0B916C635840,yann,2,1,1,0,,
quality,Q-110A30DEFA41,matheus,2,2,2,0,,
quality,Q-110A30DEFA41,yann,2,2,2,0,,
quality,Q-19E6C0C332CB,matheus,2,2,2,0,,
quality,Q-19E6C0C332CB,wilson,2,2,2,0,,
quality,Q-1D03C3B5E9CF,gabriela,1,1,1,0,,Resposta parcialmente relevante
quality,Q-1D03C3B5E9CF,yann,1,1,1,0,,Resposta parcialmente relevante
quality,Q-1D48DE1F09D3,carlos,2,2,2,0,,
quality,Q-1D48DE1F09D3,yann,2,2,2,0,,
quality,Q-2133E0DEE569,gabriela,2,2,2,0,,
quality,Q-2133E0DEE569,matheus,2,2,2,0,,
quality,Q-24AD29BB4391,matheus,2,2,2,0,,
quality,Q-24AD29BB4391,wilson,2,2,2,0,,
quality,Q-27533C22C5C7,carlos,2,2,2,0,,
quality,Q-27533C22C5C7,matheus,2,2,2,0,,
quality,Q-29CA00A48738,wilson,2,2,2,0,,
quality,Q-29CA00A48738,yann,2,2,2,0,,
quality,Q-2AB07E083D85,carlos,0,0,1,0,,Resposta indica incapacidade de responder; Falta terminologia técnica esperada
quality,Q-2AB07E083D85,gabriela,0,0,1,0,,Resposta indica incapacidade de responder; Falta terminologia técnica esperada
quality,Q-2AF3517894F7,gabriela,2,2,2,0,,
quality,Q-2AF3517894F7,wilson,2,2,2,0,,
quality,Q-326B36416106,carlos,2,2,2,0,,
quality,Q-326B36416106,gabriela,2,2,2,0,,
quality,Q-3825314E3E3C,gabriela,2,2,2,0,,
quality,Q-3825314E3E3C,matheus,2,2,2,0,,
quality,Q-4074347692CF,carlos,2,2,2,0,,
quality,Q-4074347692CF,yann,2,2,2,0,,
quality,Q-48811E0C5A7D,gabriela,2,2,2,0,,
quality,Q-48811E0C5A7D,matheus,2,2,2,0,,
quality,Q-4DFBCDB76B6C,carlos,2,2,2,0,,
quality,Q-4DFBCDB76B6C,yann,2,2,2,0,,
quality,Q-559400844B21,gabriela,2,2,2,0,,
quality,Q-559400844B21,matheus,2,2,2,0,,
quality,Q-586CF9555252,carlos,2,2,2,0,,
quality,Q-586CF9555252,yann,2,2,2,0,,
quality,Q-599612CE1BCB,gabriela,2,2,2,0,,
quality,Q-599612CE1BCB,yann,2,2,2,0,,
quality,Q-5A74211B8773,carlos,2,2,2,0,,
quality,Q-5A74211B8773,yann,2,2,2,0,,
quality,Q-5B31C18CCB79,carlos,2,2,2,0,,
quality,Q-5B31C18CCB79,matheus,2,2,2,0,,
quality,Q-5BC009AA8022,carlos,2,2,2,0,,
quality,Q-5BC009AA8022,matheus,2,2,2,0,,
quality,Q-5CDBAD918209,gabriela,2,2,2,0,,
quality,Q-5CDBAD918209,matheus,2,2,2,0,,
quality,Q-5FFDFB1AEDED,carlos,2,2,2,0,,
quality,Q-5FFDFB1AEDED,wilson,2,2,2,0,,
quality,Q-60DBEC22FA4E,wilson,2,2,2,0,,
quality,Q-60DBEC22FA4E,yann,2,2,2,0,,
quality,Q-6351496AEABA,matheus,2,1,1,0,,
quality,Q-6351496AEABA,wilson,2,1,1,0,,
quality,Q-63C668B6E5F8,carlos,1,1,1,0,,Resposta parcialmente relevante
quality,Q-63C668B6E5F8,wilson,1,1,1,0,,Resposta parcialmente relevante
quality,Q-65B67B8AC287,gabriela,2,2,2,0,,
quality,Q-65B67B8AC287,wilson,2,2,2,0,,
quality,Q-6625991C35A9,gabriela,2,2,2,0,,
quality,Q-6625991C35A9,wilson,2,2,2,0,,
quality,Q-68D222E86562,gabriela,0,0,1,0,,Resposta indica incapacidade de responder; Falta terminologia técnica esperada
quality,Q-68D222E86562,matheus,0,0,1,0,,Resposta indica incapacidade de responder; Falta terminologia técnica esperada
quality,Q-6938EB9F4A6F,matheus,2,2,2,0,,
quality,Q-6938EB9F4A6F,yann,2,2,2,0,,
