experiment_signature,run_id,condition,query_id,category,question,corpus_chunks,corpus_fingerprint,top_k,expected_provider,expected_model,actual_provider,actual_model,temperature,max_tokens,think,generation_seed,retrieval_time_ns,generation_time_ns,end_to_end_time_ns,retrieved_chunk_ids,relevant_chunk_ids,relevant_retrieved_chunk_ids,retrieval_hit_count,precision_at_5,recall_at_5,citation_valid,citation_retry_count,citation_count,valid_citations,invalid_citations,citation_relevant_count,citation_relevance,answer_word_count,answer,generation_metadata
67797253ce57ea43fce43af34b004d4780e9f24c8a6a1e248500cb7761db1677,no_rag|q01,no_rag,q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,1305,e08b47b55d7237f38bcaba48c79a468a40b92e4f3120e968ae9ece999f5e8c2d,,ollama,qwen2.5:3b,ollama,qwen2.5:3b,0.0,256,false,42,,519886100,519886100,[],"[""advanced/sub-applications-2"", ""deployment/docker-7"", ""tutorial/first-steps-0"", ""tutorial/first-steps-22"", ""tutorial/first-steps-23"", ""tutorial/first-steps-26"", ""tutorial/first-steps-28"", ""tutorial/first-steps-33""]",[],,,,,,,[],[],,,19,"Create a FastAPI application, define a route using `router`, and use the `@router.post` decorator to define a path operation.","{""done_reason"": ""stop"", ""eval_count"": 29, ""eval_duration"": 488745000, ""load_duration"": 2093700, ""prompt_eval_count"": 83, ""prompt_eval_duration"": 19503000, ""requested_max_tokens"": 256, ""requested_seed"": 42, ""requested_temperature"": 0.0, ""thinking_enabled"": false, ""total_duration"": 517380100}"
67797253ce57ea43fce43af34b004d4780e9f24c8a6a1e248500cb7761db1677,optimized|q01,optimized,q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,1305,e08b47b55d7237f38bcaba48c79a468a40b92e4f3120e968ae9ece999f5e8c2d,5,ollama,qwen2.5:3b,ollama,qwen2.5:3b,0.0,256,false,42,10733100,1674232100,1685122900,"[""advanced/security/http-basic-auth-0"", ""tutorial/first-steps-23"", ""how-to/custom-docs-ui-assets-5"", ""contributing-0"", ""how-to/custom-docs-ui-assets-15""]","[""advanced/sub-applications-2"", ""deployment/docker-7"", ""tutorial/first-steps-0"", ""tutorial/first-steps-22"", ""tutorial/first-steps-23"", ""tutorial/first-steps-26"", ""tutorial/first-steps-28"", ""tutorial/first-steps-33""]","[""tutorial/first-steps-23""]",1,0.2,0.125,true,0,2,"[""how-to/custom-docs-ui-assets-5"", ""how-to/custom-docs-ui-assets-15""]",[],0,0.0,62,"To create a basic FastAPI application and define your first path operation, you can follow these steps:

1. Create a path operation to test it, as described in [how-to/custom-docs-ui-assets-5] and [how-to/custom-docs-ui-assets-15].

2. Use the provided code snippets in the respective files to set up your application.

3. Start your FastAPI application and test the path operation to ensure it works as expected.","{""citation_count"": 2, ""citation_retry_count"": 0, ""citation_valid"": true, ""done_reason"": ""stop"", ""effective_max_tokens"": 256, ""eval_count"": 94, ""eval_duration"": 1634497000, ""invalid_citations"": [], ""load_duration"": 2256600, ""prompt_eval_count"": 830, ""prompt_eval_duration"": 19472000, ""requested_max_tokens"": 256, ""requested_seed"": 42, ""requested_temperature"": 0.0, ""thinking_enabled"": false, ""total_duration"": 1671716300, ""truncation_retries"": 0, ""valid_citations"": [""how-to/custom-docs-ui-assets-5"", ""how-to/custom-docs-ui-assets-15""]}"
67797253ce57ea43fce43af34b004d4780e9f24c8a6a1e248500cb7761db1677,semantic|q01,semantic,q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,1305,e08b47b55d7237f38bcaba48c79a468a40b92e4f3120e968ae9ece999f5e8c2d,5,ollama,qwen2.5:3b,ollama,qwen2.5:3b,0.0,256,false,42,18161700,1375803300,1394114500,"[""advanced/sub-applications-3"", ""advanced/sub-applications-2"", ""tutorial/first-steps-33"", ""deployment/docker-7"", ""tutorial/bigger-applications-23""]","[""advanced/sub-applications-2"", ""deployment/docker-7"", ""tutorial/first-steps-0"", ""tutorial/first-steps-22"", ""tutorial/first-steps-23"", ""tutorial/first-steps-26"", ""tutorial/first-steps-28"", ""tutorial/first-steps-33""]","[""advanced/sub-applications-2"", ""tutorial/first-steps-33"", ""deployment/docker-7""]",3,0.6,0.375,true,0,1,"[""tutorial/first-steps-33""]",[],1,1.0,40,"Create the main, top-level, FastAPI application and its path operations as follows:

```Python
from fastapi import FastAPI

app = FastAPI()


@app.get(""/"")
def read_root():
    return {""Hello"": ""World""}
```

This can be found in the main.py file created in the [tutorial/first-steps-33] citation.","{""citation_count"": 1, ""citation_retry_count"": 0, ""citation_valid"": true, ""done_reason"": ""stop"", ""effective_max_tokens"": 256, ""eval_count"": 74, ""eval_duration"": 1326751000, ""invalid_citations"": [], ""load_duration"": 2195500, ""prompt_eval_count"": 1030, ""prompt_eval_duration"": 19712000, ""requested_max_tokens"": 256, ""requested_seed"": 42, ""requested_temperature"": 0.0, ""thinking_enabled"": false, ""total_duration"": 1373217300, ""truncation_retries"": 0, ""valid_citations"": [""tutorial/first-steps-33""]}"
67797253ce57ea43fce43af34b004d4780e9f24c8a6a1e248500cb7761db1677,optimized|q02,optimized,q02,tutorial,How can I declare and validate query parameters in FastAPI?,1305,e08b47b55d7237f38bcaba48c79a468a40b92e4f3120e968ae9ece999f5e8c2d,5,ollama,qwen2.5:3b,ollama,qwen2.5:3b,0.0,256,false,42,9366200,7880162500,7889654500,"[""tutorial/query-param-models-1"", ""tutorial/query-params-4"", ""tutorial/body-multiple-params-4"", ""tutorial/header-params-2"", ""tutorial/query-param-models-0""]","[""index-35"", ""reference/parameters-0"", ""tutorial/body-9"", ""tutorial/body-multiple-params-4"", ""tutorial/path-params-numeric-validations-9"", ""tutorial/query-param-models-0"", ""tutorial/query-param-models-1"", ""tutorial/query-param-models-3"", ""tutorial/query-param-models-4"", ""tutorial/query-params-0"", ""tutorial/query-params-2"", ""tutorial/query-params-4"", ""tutorial/query-params-str-validations-0"", ""tutorial/query-params-str-validations-10"", ""tutorial/query-params-str-validations-14"", ""tutorial/query-params-str-validations-16"", ""tutorial/query-params-str-validations-2"", ""tutorial/query-params-str-validations-4"", ""tutorial/query-params-str-validations-5"", ""tutorial/query-params-str-validations-6""]","[""tutorial/query-param-models-1"", ""tutorial/query-params-4"", ""tutorial/body-multiple-params-4"", ""tutorial/query-param-models-0""]",4,0.8,0.2,true,1,1,"[""tutorial/query-param-models-0""]",[],1,1.0,49,You can declare and validate query parameters in FastAPI by creating a Pydantic model for the query parameters and then declaring the parameter as `Query`. This allows you to re-use the model in multiple places and also to declare validations and metadata for all the parameters at once. [tutorial/query-param-models-0],"{""citation_count"": 1, ""citation_retry_count"": 1, ""citation_valid"": true, ""done_reason"": ""stop"", ""effective_max_tokens"": 256, ""eval_count"": 65, ""eval_duration"": 1153627000, ""invalid_citations"": [], ""load_duration"": 3314900, ""prompt_eval_count"": 1377, ""prompt_eval_duration"": 1197739000, ""requested_max_tokens"": 256, ""requested_seed"": 42, ""requested_temperature"": 0.0, ""thinking_enabled"": false, ""total_duration"": 2366827200, ""truncation_retries"": 0, ""valid_citations"": [""tutorial/query-param-models-0""]}"
67797253ce57ea43fce43af34b004d4780e9f24c8a6a1e248500cb7761db1677,semantic|q02,semantic,q02,tutorial,How can I declare and validate query parameters in FastAPI?,1305,e08b47b55d7237f38bcaba48c79a468a40b92e4f3120e968ae9ece999f5e8c2d,5,ollama,qwen2.5:3b,ollama,qwen2.5:3b,0.0,256,false,42,18630000,11361373800,11380145800,"[""tutorial/query-params-str-validations-0"", ""tutorial/path-params-numeric-validations-9"", ""tutorial/body-9"", ""tutorial/query-params-str-validations-4"", ""python-types-17""]","[""index-35"", ""reference/parameters-0"", ""tutorial/body-9"", ""tutorial/body-multiple-params-4"", ""tutorial/path-params-numeric-validations-9"", ""tutorial/query-param-models-0"", ""tutorial/query-param-models-1"", ""tutorial/query-param-models-3"", ""tutorial/query-param-models-4"", ""tutorial/query-params-0"", ""tutorial/query-params-2"", ""tutorial/query-params-4"", ""tutorial/query-params-str-validations-0"", ""tutorial/query-params-str-validations-10"", ""tutorial/query-params-str-validations-14"", ""tutorial/query-params-str-validations-16"", ""tutorial/query-params-str-validations-2"", ""tutorial/query-params-str-validations-4"", ""tutorial/query-params-str-validations-5"", ""tutorial/query-params-str-validations-6""]","[""tutorial/query-params-str-validations-0"", ""tutorial/path-params-numeric-validations-9"", ""tutorial/body-9"", ""tutorial/query-params-str-validations-4""]",4,0.8,0.2,true,1,1,"[""tutorial/query-params-str-validations-4""]",[],1,1.0,34,"You can declare and validate query parameters in FastAPI by using the `Query` function inside an `Annotated` function, specifying the type and additional validation such as `max_length`. This is demonstrated in the [tutorial/query-params-str-validations-4] documentation.","{""citation_count"": 1, ""citation_retry_count"": 1, ""citation_valid"": true, ""done_reason"": ""stop"", ""effective_max_tokens"": 256, ""eval_count"": 56, ""eval_duration"": 1031025000, ""invalid_citations"": [], ""load_duration"": 1740800, ""prompt_eval_count"": 2059, ""prompt_eval_duration"": 1276343000, ""requested_max_tokens"": 256, ""requested_seed"": 42, ""requested_temperature"": 0.0, ""thinking_enabled"": false, ""total_duration"": 2324889400, ""truncation_retries"": 0, ""valid_citations"": [""tutorial/query-params-str-validations-4""]}"
67797253ce57ea43fce43af34b004d4780e9f24c8a6a1e248500cb7761db1677,no_rag|q02,no_rag,q02,tutorial,How can I declare and validate query parameters in FastAPI?,1305,e08b47b55d7237f38bcaba48c79a468a40b92e4f3120e968ae9ece999f5e8c2d,,ollama,qwen2.5:3b,ollama,qwen2.5:3b,0.0,256,false,42,,394731000,394731000,[],"[""index-35"", ""reference/parameters-0"", ""tutorial/body-9"", ""tutorial/body-multiple-params-4"", ""tutorial/path-params-numeric-validations-9"", ""tutorial/query-param-models-0"", ""tutorial/query-param-models-1"", ""tutorial/query-param-models-3"", ""tutorial/query-param-models-4"", ""tutorial/query-params-0"", ""tutorial/query-params-2"", ""tutorial/query-params-4"", ""tutorial/query-params-str-validations-0"", ""tutorial/query-params-str-validations-10"", ""tutorial/query-params-str-validations-14"", ""tutorial/query-params-str-validations-16"", ""tutorial/query-params-str-validations-2"", ""tutorial/query-params-str-validations-4"", ""tutorial/query-params-str-validations-5"", ""tutorial/query-params-str-validations-6""]",[],,,,,,,[],[],,,12,Use the `Query` function from FastAPI to declare and validate query parameters.,"{""done_reason"": ""stop"", ""eval_count"": 17, ""eval_duration"": 273065000, ""load_duration"": 2155200, ""prompt_eval_count"": 79, ""prompt_eval_duration"": 97165000, ""requested_max_tokens"": 256, ""requested_seed"": 42, ""requested_temperature"": 0.0, ""thinking_enabled"": false, ""total_duration"": 392835400}"
67797253ce57ea43fce43af34b004d4780e9f24c8a6a1e248500cb7761db1677,semantic|q03,semantic,q03,tutorial,How do I define a request body using a Pydantic model in FastAPI?,1305,e08b47b55d7237f38bcaba48c79a468a40b92e4f3120e968ae9ece999f5e8c2d,5,ollama,qwen2.5:3b,ollama,qwen2.5:3b,0.0,256,false,42,21855200,9972126900,9994142800,"[""tutorial/body-8"", ""tutorial/request-form-models-1"", ""tutorial/body-9"", ""tutorial/cookie-param-models-1"", ""tutorial/body-nested-models-0""]","[""index-31"", ""python-types-15"", ""tutorial/body-0"", ""tutorial/body-10"", ""tutorial/body-7"", ""tutorial/body-8"", ""tutorial/body-9"", ""tutorial/body-fields-0"", ""tutorial/body-multiple-params-3"", ""tutorial/body-multiple-params-5"", ""tutorial/body-nested-models-0"", ""tutorial/body-nested-models-14"", ""tutorial/body-nested-models-6"", ""tutorial/request-form-models-1""]","[""tutorial/body-8"", ""tutorial/request-form-models-1"", ""tutorial/body-9"", ""tutorial/body-nested-models-0""]",4,0.8,0.2857142857142857,true,1,4,"[""tutorial/request-form-models-1"", ""tutorial/body-9"", ""tutorial/cookie-param-models-1"", ""tutorial/body-nested-models-0""]",[],3,0.75,71,"You can define a request body using a Pydantic model in FastAPI by declaring the parameter as `Form`, `Cookie`, or a Pydantic model, depending on the type of parameter you want to use. [tutorial/request-form-models-1] demonstrates this for form fields. [tutorial/body-9] shows how to use a Pydantic model for a request body, path, and query parameters. [tutorial/cookie-param-models-1] and [tutorial/body-nested-models-0] also provide examples of using Pydantic models for cookies and nested models, respectively.","{""citation_count"": 4, ""citation_retry_count"": 1, ""citation_valid"": true, ""done_reason"": ""stop"", ""effective_max_tokens"": 256, ""eval_count"": 124, ""eval_duration"": 2195624000, ""invalid_citations"": [], ""load_duration"": 2775100, ""prompt_eval_count"": 1390, ""prompt_eval_duration"": 1195902000, ""requested_max_tokens"": 256, ""requested_seed"": 42, ""requested_temperature"": 0.0, ""thinking_enabled"": false, ""total_duration"": 3402211200, ""truncation_retries"": 0, ""valid_citations"": [""tutorial/request-form-models-1"", ""tutorial/body-9"", ""tutorial/cookie-param-models-1"", ""tutorial/body-nested-models-0""]}"
67797253ce57ea43fce43af34b004d4780e9f24c8a6a1e248500cb7761db1677,no_rag|q03,no_rag,q03,tutorial,How do I define a request body using a Pydantic model in FastAPI?,1305,e08b47b55d7237f38bcaba48c79a468a40b92e4f3120e968ae9ece999f5e8c2d,,ollama,qwen2.5:3b,ollama,qwen2.5:3b,0.0,256,false,42,,604645800,604645800,[],"[""index-31"", ""python-types-15"", ""tutorial/body-0"", ""tutorial/body-10"", ""tutorial/body-7"", ""tutorial/body-8"", ""tutorial/body-9"", ""tutorial/body-fields-0"", ""tutorial/body-multiple-params-3"", ""tutorial/body-multiple-params-5"", ""tutorial/body-nested-models-0"", ""tutorial/body-nested-models-14"", ""tutorial/body-nested-models-6"", ""tutorial/request-form-models-1""]",[],,,,,,,[],[],,,20,"Define a Pydantic model for the request body schema, then use the `Body` function in your endpoint's path operation definition.","{""done_reason"": ""stop"", ""eval_count"": 28, ""eval_duration"": 448484000, ""load_duration"": 2154000, ""prompt_eval_count"": 84, ""prompt_eval_duration"": 132463000, ""requested_max_tokens"": 256, ""requested_seed"": 42, ""requested_temperature"": 0.0, ""thinking_enabled"": false, ""total_duration"": 602966100}"
67797253ce57ea43fce43af34b004d4780e9f24c8a6a1e248500cb7761db1677,optimized|q03,optimized,q03,tutorial,How do I define a request body using a Pydantic model in FastAPI?,1305,e08b47b55d7237f38bcaba48c79a468a40b92e4f3120e968ae9ece999f5e8c2d,5,ollama,qwen2.5:3b,ollama,qwen2.5:3b,0.0,256,false,42,10628400,9443490400,9454239100,"[""tutorial/body-0"", ""reference/request-0"", ""tutorial/cookie-param-models-1"", ""advanced/response-directly-0"", ""tutorial/body-10""]","[""index-31"", ""python-types-15"", ""tutorial/body-0"", ""tutorial/body-10"", ""tutorial/body-7"", ""tutorial/body-8"", ""tutorial/body-9"", ""tutorial/body-fields-0"", ""tutorial/body-multiple-params-3"", ""tutorial/body-multiple-params-5"", ""tutorial/body-nested-models-0"", ""tutorial/body-nested-models-14"", ""tutorial/body-nested-models-6"", ""tutorial/request-form-models-1""]","[""tutorial/body-0"", ""tutorial/body-10""]",2,0.4,0.14285714285714285,true,1,1,"[""reference/request-0""]",[],0,0.0,44,You can define a request body using a Pydantic model in FastAPI by declaring the parameter in a *path operation function* or dependency as `Request` and then defining a Pydantic model for the request body. Refer to the documentation in [reference/request-0] for more details.,"{""citation_count"": 1, ""citation_retry_count"": 1, ""citation_valid"": true, ""done_reason"": ""stop"", ""effective_max_tokens"": 256, ""eval_count"": 61, ""eval_duration"": 1065882000, ""invalid_citations"": [], ""load_duration"": 1676400, ""prompt_eval_count"": 1492, ""prompt_eval_duration"": 1194803000, ""requested_max_tokens"": 256, ""requested_seed"": 42, ""requested_temperature"": 0.0, ""thinking_enabled"": false, ""total_duration"": 2271994600, ""truncation_retries"": 0, ""valid_citations"": [""reference/request-0""]}"
67797253ce57ea43fce43af34b004d4780e9f24c8a6a1e248500cb7761db1677,no_rag|q04,no_rag,q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,1305,e08b47b55d7237f38bcaba48c79a468a40b92e4f3120e968ae9ece999f5e8c2d,,ollama,qwen2.5:3b,ollama,qwen2.5:3b,0.0,256,false,42,,582827800,582827800,[],"[""advanced/additional-responses-6"", ""advanced/additional-status-codes-0"", ""advanced/additional-status-codes-1"", ""advanced/additional-status-codes-2"", ""advanced/custom-response-4"", ""advanced/custom-response-8"", ""advanced/response-change-status-code-0"", ""advanced/response-change-status-code-1"", ""advanced/response-change-status-code-2"", ""advanced/response-cookies-1"", ""advanced/response-headers-1"", ""reference/response-0"", ""reference/status-0"", ""reference/status-1"", ""tutorial/path-operation-configuration-1"", ""tutorial/response-status-code-0"", ""tutorial/response-status-code-1"", ""tutorial/response-status-code-2"", ""tutorial/response-status-code-3"", ""tutorial/response-status-code-4""]",[],,,,,,,[],[],,,19,Use the `status_code` parameter in the `response_model` decorator or directly in the function to customize the response status code.,"{""done_reason"": ""stop"", ""eval_count"": 27, ""eval_duration"": 429023000, ""load_duration"": 2438800, ""prompt_eval_count"": 81, ""prompt_eval_duration"": 131924000, ""requested_max_tokens"": 256, ""requested_seed"": 42, ""requested_temperature"": 0.0, ""thinking_enabled"": false, ""total_duration"": 581487000}"
