task_type,metric,annotator_a,annotator_b,items,exact_agreements,exact_agreement_rate
groundedness,groundedness,carlos,gabriela,6,6,1.0
groundedness,groundedness,carlos,matheus,6,6,1.0
groundedness,groundedness,carlos,wilson,6,6,1.0
groundedness,groundedness,carlos,yann,6,6,1.0
groundedness,groundedness,gabriela,matheus,6,6,1.0
groundedness,groundedness,gabriela,wilson,6,6,1.0
groundedness,groundedness,gabriela,yann,6,6,1.0
groundedness,groundedness,matheus,wilson,6,6,1.0
groundedness,groundedness,matheus,yann,6,6,1.0
groundedness,groundedness,wilson,yann,6,6,1.0
quality,clarity,carlos,gabriela,9,9,1.0
quality,clarity,carlos,matheus,9,9,1.0
quality,clarity,carlos,wilson,9,9,1.0
quality,clarity,carlos,yann,9,9,1.0
quality,clarity,gabriela,matheus,9,9,1.0
quality,clarity,gabriela,wilson,9,9,1.0
quality,clarity,gabriela,yann,9,9,1.0
quality,clarity,matheus,wilson,9,9,1.0
quality,clarity,matheus,yann,9,9,1.0
quality,clarity,wilson,yann,9,9,1.0
quality,completeness,carlos,gabriela,9,9,1.0
quality,completeness,carlos,matheus,9,9,1.0
quality,completeness,carlos,wilson,9,9,1.0
quality,completeness,carlos,yann,9,9,1.0
quality,completeness,gabriela,matheus,9,9,1.0
quality,completeness,gabriela,wilson,9,9,1.0
quality,completeness,gabriela,yann,9,9,1.0
quality,completeness,matheus,wilson,9,9,1.0
quality,completeness,matheus,yann,9,9,1.0
quality,completeness,wilson,yann,9,9,1.0
quality,correctness,carlos,gabriela,9,9,1.0
quality,correctness,carlos,matheus,9,9,1.0
quality,correctness,carlos,wilson,9,9,1.0
quality,correctness,carlos,yann,9,9,1.0
quality,correctness,gabriela,matheus,9,9,1.0
quality,correctness,gabriela,wilson,9,9,1.0
quality,correctness,gabriela,yann,9,9,1.0
quality,correctness,matheus,wilson,9,9,1.0
quality,correctness,matheus,yann,9,9,1.0
quality,correctness,wilson,yann,9,9,1.0
quality,hallucination_present,carlos,gabriela,9,9,1.0
quality,hallucination_present,carlos,matheus,9,9,1.0
quality,hallucination_present,carlos,wilson,9,9,1.0
quality,hallucination_present,carlos,yann,9,9,1.0
quality,hallucination_present,gabriela,matheus,9,9,1.0
quality,hallucination_present,gabriela,wilson,9,9,1.0
quality,hallucination_present,gabriela,yann,9,9,1.0
quality,hallucination_present,matheus,wilson,9,9,1.0
quality,hallucination_present,matheus,yann,9,9,1.0
quality,hallucination_present,wilson,yann,9,9,1.0
