task_type,blind_id,query_id,condition,correctness,completeness,clarity,hallucination_present,groundedness
groundedness,G-0429D54D7A0E,q13,semantic,,,,,2
groundedness,G-05ADF7D05686,q16,optimized,,,,,2
groundedness,G-06E51D5716F0,q11,optimized,,,,,2
groundedness,G-07A7D5AFCD05,q09,optimized,,,,,2
groundedness,G-0E7374F00AEE,q28,optimized,,,,,2
groundedness,G-106ABF6FCA4B,q03,semantic,,,,,2
groundedness,G-12125E246B1A,q29,semantic,,,,,2
groundedness,G-14E6D8BFB8A7,q21,optimized,,,,,2
groundedness,G-1506F10E9715,q12,semantic,,,,,2
groundedness,G-19F2B4A0F7D5,q20,optimized,,,,,2
groundedness,G-26C8FF464A54,q10,optimized,,,,,2
groundedness,G-2B268F4BEF95,q05,semantic,,,,,2
groundedness,G-2E996D660ACC,q03,optimized,,,,,2
groundedness,G-35A5A80FEDF7,q12,optimized,,,,,2
groundedness,G-369928E824A1,q09,semantic,,,,,2
groundedness,G-377428C0EDBB,q11,semantic,,,,,2
groundedness,G-4037023452C7,q27,optimized,,,,,2
groundedness,G-40FC2FFF068B,q04,semantic,,,,,2
groundedness,G-455561E2715A,q29,optimized,,,,,2
groundedness,G-4C0D3087832C,q14,optimized,,,,,2
groundedness,G-530D1118C809,q18,semantic,,,,,2
groundedness,G-541884332516,q24,semantic,,,,,2
groundedness,G-54C14A24FC78,q23,optimized,,,,,2
groundedness,G-5E28B746D6CF,q10,semantic,,,,,2
groundedness,G-60614155AD17,q08,semantic,,,,,2
groundedness,G-623782CEAF88,q22,semantic,,,,,2
groundedness,G-69BF01C4442F,q17,optimized,,,,,2
groundedness,G-6D18A201DB7D,q08,optimized,,,,,2
groundedness,G-70290EAB7BBE,q19,semantic,,,,,2
groundedness,G-7211D36FDE14,q28,semantic,,,,,2
groundedness,G-7AEF984FF08F,q26,semantic,,,,,2
groundedness,G-819FC0D48C0D,q30,optimized,,,,,2
groundedness,G-8227AD99DAA4,q24,optimized,,,,,2
groundedness,G-88834C6BB041,q17,semantic,,,,,2
groundedness,G-8DC507C00BC4,q25,optimized,,,,,2
groundedness,G-8ED6DC1671A5,q07,semantic,,,,,2
groundedness,G-97B33F206271,q07,optimized,,,,,2
groundedness,G-987107887D0F,q27,semantic,,,,,2
groundedness,G-A8ABBC6F495D,q22,optimized,,,,,2
groundedness,G-B70639D9EDEC,q01,optimized,,,,,2
groundedness,G-B79D70A1E94F,q15,optimized,,,,,2
groundedness,G-B9CF1E87ED58,q15,semantic,,,,,2
groundedness,G-BBF60ACFB4D1,q30,semantic,,,,,2
groundedness,G-C808DD93B574,q23,semantic,,,,,2
groundedness,G-CAA1F0231D2C,q21,semantic,,,,,2
groundedness,G-D4A0596C4713,q06,semantic,,,,,2
groundedness,G-D68670F61ACD,q06,optimized,,,,,2
groundedness,G-E885803F5F7B,q16,semantic,,,,,2
groundedness,G-EBFF2BDD8A79,q18,optimized,,,,,0
groundedness,G-EF3022D77E43,q14,semantic,,,,,2
groundedness,G-EFD1F79B5436,q01,semantic,,,,,2
groundedness,G-F004A72A6E0C,q02,semantic,,,,,2
groundedness,G-F211A7460663,q13,optimized,,,,,0
groundedness,G-F5DCD4082AAF,q26,optimized,,,,,2
groundedness,G-F76029BDB275,q02,optimized,,,,,2
groundedness,G-FA2DA779F988,q05,optimized,,,,,2
groundedness,G-FAB5DD4D03AC,q19,optimized,,,,,2
groundedness,G-FAC6087EF67E,q20,semantic,,,,,2
groundedness,G-FCF2BE263430,q25,semantic,,,,,2
groundedness,G-FD9579442A9D,q04,optimized,,,,,2
quality,Q-014851B82DDB,q16,optimized,2,2,2,0,
quality,Q-02FE9E53B872,q21,semantic,2,2,2,0,
quality,Q-030BC3434AB5,q23,optimized,2,2,2,0,
quality,Q-0331EC317506,q19,semantic,2,2,2,0,
quality,Q-0418C76EE0D2,q07,no_rag,2,2,2,0,
quality,Q-07B492531259,q21,optimized,2,2,2,0,
quality,Q-07E868E2FC34,q23,semantic,2,2,2,0,
quality,Q-09B273A16FD0,q27,semantic,2,2,2,0,
quality,Q-0AB9F45E6A07,q20,optimized,2,2,2,0,
quality,Q-0AC255AC50A5,q27,optimized,2,2,2,0,
quality,Q-0B916C635840,q02,no_rag,2,1,1,0,
quality,Q-110A30DEFA41,q21,no_rag,2,2,2,0,
quality,Q-19E6C0C332CB,q08,no_rag,2,2,2,0,
quality,Q-1D03C3B5E9CF,q07,semantic,1,1,1,0,
quality,Q-1D48DE1F09D3,q11,semantic,2,2,2,0,
quality,Q-2133E0DEE569,q12,no_rag,2,2,2,0,
quality,Q-24AD29BB4391,q14,no_rag,2,2,2,0,
quality,Q-27533C22C5C7,q03,semantic,2,2,2,0,
quality,Q-29CA00A48738,q30,semantic,2,2,2,0,
quality,Q-2AB07E083D85,q13,optimized,0,0,1,0,
quality,Q-2AF3517894F7,q05,optimized,2,2,2,0,
quality,Q-326B36416106,q22,no_rag,2,2,2,0,
